success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,user_agent,device,browser,browser_version,platform,platform_version,rt,response,task,correct_response,correct,pred_class,pred_concept,question_order
TRUE,FALSE,[],[],[],preload,0,955,0.0-0.0,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,,,,,,,,
,,,,,html-button-response,1,3359,0.0-1.0,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,2402,0,,,,,,
,,,,,html-button-response,2,10559,0.0-2.0,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,7198,0,,,,,,
,,,,,html-button-response,3,96847,0.0-3.0,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,86285,0,,,,,,
,,,,,html-keyboard-response,4,98604,0.0-4.0-0.0,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,null,null,fixation,,,,,
,,,,,image-button-response,5,112427,0.0-4.0-1.0,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,13810,4,response_1,Bombus lucorum,TRUE,,,
,,,,,html-keyboard-response,6,113181,0.0-4.0-0.1,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,null,null,fixation,,,,,
,,,,,image-button-response,7,124461,0.0-4.0-1.1,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,11269,0,response_1,Andrena bicolor,TRUE,,,
,,,,,html-keyboard-response,8,124963,0.0-4.0-0.2,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,null,null,fixation,,,,,
,,,,,image-button-response,9,139794,0.0-4.0-1.2,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,14818,4,response_1,Bombus pratorum,FALSE,,,
,,,,,html-keyboard-response,10,140297,0.0-4.0-0.3,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,null,null,fixation,,,,,
,,,,,image-button-response,11,146094,0.0-4.0-1.3,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,5786,1,response_1,Andrena flavipes,TRUE,,,
,,,,,html-keyboard-response,12,146346,0.0-4.0-0.4,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,null,null,fixation,,,,,
,,,,,image-button-response,13,183277,0.0-4.0-1.4,1,1,2023-03-14 13:34:48,27d22b55943edf8b2830e96048e50989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,16.1,OS X,10_15_7,36920,4,response_1,Bombus lucorum,TRUE,,,
